Point,Y,X,Status,Description,Date
ST1,96649.178,2247915.001,P,10mm iron peg (Station),1/10/2025
ST2,97128.263,2248259.159,P,10mm iron peg (Station),1/10/2025
P2,97538.004,2247107.872,F,50mm Iron Pipe in Concrete,1/10/2025
ZA,96271.08,2247869.919,F,50mm Iron Pipe in Concrete,1/10/2025
ZD,96551.464,2248065.632,F,50mm Iron Pipe in Concrete,1/10/2025
ZE,96649.178,2247915.001,F,50mm Iron Pipe in Concrete,1/10/2025
ZG,97128.263,2248259.159,F,50mm Iron Pipe in Concrete,1/10/2025
2283A,97057.022,2247854.388,P,12mm iron peg in concrete,1/10/2025
2283L,96831.6,2248046.047,P,12mm iron peg in concrete,1/10/2025
2283M,96865.86,2247999.302,P,12mm iron peg in concrete,1/10/2025
2283N,96928.62,2248005.705,P,12mm iron peg in concrete,1/10/2025
2283P,96964.339,2248030.193,P,12mm iron peg in concrete,1/10/2025
2283Q,97005.919,2247969.542,P,12mm iron peg in concrete,1/10/2025
2283R,97083.215,2248022.533,P,12mm iron peg in concrete,1/10/2025
2283S,97113.497,2247983.084,P,12mm iron peg in concrete,1/10/2025
2283T,97129.972,2247972.947,P,12mm iron peg in concrete,1/10/2025
2284A,96773.699,2247986.281,P,12mm iron peg in concrete,1/10/2025
2284B,96756.848,2247992.348,P,12mm iron peg in concrete,1/10/2025
2284C,96789.661,2248015.919,P,12mm iron peg in concrete,1/10/2025
2285A,96780.288,2247980.9,P,12mm iron peg in concrete,1/10/2025
2285C,96796.898,2248011.68,P,12mm iron peg in concrete,1/10/2025
2286A,96786.877,2247975.519,P,12mm iron peg in concrete,1/10/2025
